ACAB0180,CONTROL ITEM TYPE,100,QTU,QUANTITY UNIT,QUANTITY UNIT,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,110,QTY,QUANTITY,QUANTITY,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,120,PID,PRODUCT ID,PRODUCT ID,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,130,PYD,PAYMENT DATE,PAYMENT DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,140,DUD,DUE DATE,DUE DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,150,DPN,DEPOSIT ACCOUNT NO,DEPOSIT ACCOUNT NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,160,CTR,COUNTRY,COUNTRY,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,170,RED,RECEIPT DATE,RECEIPT DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,180,COD,COMMERCIAL INVOICE DATE,COMMERCIAL INVOICE DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,190,CON,COMMERCIAL INVOICE NO,COMMERCIAL INVOICE NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,200,BLN,B/L NO,B/L NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,210,BLD,B/L DATE,B/L DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,220,CTN,CONTRACT NO,CONTRACT NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,230,CTD,CONTRACT DATE,CONTRACT DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,240,PYM,PAYMENT METHOD,PAYMENT METHOD,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,250,CDN,CUSTOMER DECLARATION NO,CUSTOMER DECLARATION NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,260,CDD,CUSTOMER DECLARATION DATE,CUSTOMER DECLARATION DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,270,PNM,PRODUCT ITEM,PRODUCT ITEM,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,280,TRD,TRANSACTON DATE,TRANSACTON DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,290,UED,USE DATE,USE DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,300,DON,DOCUMENT NO,DOCUMENT NO,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,310,DED,DELIVERY DATE,DELIVERY DATE,N,1,,,,
ACAB0180,CONTROL ITEM TYPE,320,LCN,LOCATION ID,LOCATION ID,N,1,,,,
